"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",727,"AP",2012
"(0,1]","MASCULINO",920,"AP",2012
"(1,5]","FEMININO",1253,"AP",2012
"(1,5]","MASCULINO",1590,"AP",2012
"(5,10]","FEMININO",944,"AP",2012
"(5,10]","MASCULINO",1129,"AP",2012
"(10,15]","FEMININO",1394,"AP",2012
"(10,15]","MASCULINO",701,"AP",2012
"(15,20]","FEMININO",5637,"AP",2012
"(15,20]","MASCULINO",659,"AP",2012
"(20,25]","FEMININO",5248,"AP",2012
"(20,25]","MASCULINO",699,"AP",2012
"(25,30]","FEMININO",4121,"AP",2012
"(25,30]","MASCULINO",673,"AP",2012
"(30,35]","FEMININO",2642,"AP",2012
"(30,35]","MASCULINO",651,"AP",2012
"(35,40]","FEMININO",1614,"AP",2012
"(35,40]","MASCULINO",655,"AP",2012
"(40,50]","FEMININO",1627,"AP",2012
"(40,50]","MASCULINO",1284,"AP",2012
"(50,60]","FEMININO",1104,"AP",2012
"(50,60]","MASCULINO",1247,"AP",2012
"(60,70]","FEMININO",832,"AP",2012
"(60,70]","MASCULINO",1221,"AP",2012
"(70,80]","FEMININO",664,"AP",2012
"(70,80]","MASCULINO",946,"AP",2012
"(80,Inf]","FEMININO",462,"AP",2012
"(80,Inf]","MASCULINO",525,"AP",2012
NA,"FEMININO",318,"AP",2012
NA,"MASCULINO",205,"AP",2012
