"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",7130,"RS",2011
"(0,1]","MASCULINO",9189,"RS",2011
"(1,5]","FEMININO",15575,"RS",2011
"(1,5]","MASCULINO",20245,"RS",2011
"(5,10]","FEMININO",11436,"RS",2011
"(5,10]","MASCULINO",15744,"RS",2011
"(10,15]","FEMININO",10834,"RS",2011
"(10,15]","MASCULINO",10466,"RS",2011
"(15,20]","FEMININO",38067,"RS",2011
"(15,20]","MASCULINO",12566,"RS",2011
"(20,25]","FEMININO",41304,"RS",2011
"(20,25]","MASCULINO",14531,"RS",2011
"(25,30]","FEMININO",39210,"RS",2011
"(25,30]","MASCULINO",15821,"RS",2011
"(30,35]","FEMININO",31182,"RS",2011
"(30,35]","MASCULINO",15499,"RS",2011
"(35,40]","FEMININO",25919,"RS",2011
"(35,40]","MASCULINO",16387,"RS",2011
"(40,50]","FEMININO",47123,"RS",2011
"(40,50]","MASCULINO",42414,"RS",2011
"(50,60]","FEMININO",46987,"RS",2011
"(50,60]","MASCULINO",52137,"RS",2011
"(60,70]","FEMININO",42811,"RS",2011
"(60,70]","MASCULINO",50706,"RS",2011
"(70,80]","FEMININO",38404,"RS",2011
"(70,80]","MASCULINO",37386,"RS",2011
"(80,Inf]","FEMININO",26506,"RS",2011
"(80,Inf]","MASCULINO",17097,"RS",2011
NA,"FEMININO",3670,"RS",2011
NA,"MASCULINO",4280,"RS",2011
